source,country,area,lat,lon,year,month,month_num,date,births,country_area
ons.gov.uk,United Kingdom,,52,-1,2010,March,3,2010-03-01,59965,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2010,April,4,2010-04-01,57196,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2010,May,5,2010-05-01,59444,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2010,June,6,2010-06-01,59459,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2010,July,7,2010-07-01,62166,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2010,August,8,2010-08-01,60598,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2010,September,9,2010-09-01,62986,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2010,October,10,2010-10-01,64542,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2010,November,11,2010-11-01,60745,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2010,December,12,2010-12-01,61334,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2011,January,1,2011-01-01,60232,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2011,February,2,2011-02-01,54998,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2011,March,3,2011-03-01,59814,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2011,April,4,2011-04-01,57851,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2011,May,5,2011-05-01,60978,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2011,June,6,2011-06-01,60835,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2011,July,7,2011-07-01,63002,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2011,August,8,2011-08-01,61806,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2011,September,9,2011-09-01,61058,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2011,October,10,2011-10-01,61679,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2011,November,11,2011-11-01,60589,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2011,December,12,2011-12-01,61071,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2012,January,1,2012-01-01,61942,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2012,February,2,2012-02-01,56783,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2012,March,3,2012-03-01,61043,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2012,April,4,2012-04-01,58088,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2012,May,5,2012-05-01,62736,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2012,June,6,2012-06-01,59664,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2012,July,7,2012-07-01,61920,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2012,August,8,2012-08-01,61995,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2012,September,9,2012-09-01,62949,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2012,October,10,2012-10-01,63387,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2012,November,11,2012-11-01,59593,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2012,December,12,2012-12-01,59574,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2013,January,1,2013-01-01,59101,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2013,February,2,2013-02-01,53437,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2013,March,3,2013-03-01,58234,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2013,April,4,2013-04-01,55286,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2013,May,5,2013-05-01,58615,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2013,June,6,2013-06-01,56981,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2013,July,7,2013-07-01,61422,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2013,August,8,2013-08-01,60238,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2013,September,9,2013-09-01,60289,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2013,October,10,2013-10-01,60519,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2013,November,11,2013-11-01,56822,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2013,December,12,2013-12-01,57568,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2014,January,1,2014-01-01,58213,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2014,February,2,2014-02-01,53278,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2014,March,3,2014-03-01,57465,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2014,April,4,2014-04-01,55310,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2014,May,5,2014-05-01,58898,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2014,June,6,2014-06-01,57190,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2014,July,7,2014-07-01,60516,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2014,August,8,2014-08-01,59065,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2014,September,9,2014-09-01,61197,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2014,October,10,2014-10-01,61152,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2014,November,11,2014-11-01,55971,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2014,December,12,2014-12-01,56978,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2015,January,1,2015-01-01,57811,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2015,February,2,2015-02-01,52345,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2015,March,3,2015-03-01,56692,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2015,April,4,2015-04-01,55851,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2015,May,5,2015-05-01,59410,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2015,June,6,2015-06-01,58580,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2015,July,7,2015-07-01,61425,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2015,August,8,2015-08-01,59259,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2015,September,9,2015-09-01,60173,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2015,October,10,2015-10-01,60569,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2015,November,11,2015-11-01,57774,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2015,December,12,2015-12-01,57963,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2016,January,1,2016-01-01,57188,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2016,February,2,2016-02-01,54932,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2016,March,3,2016-03-01,57583,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2016,April,4,2016-04-01,56663,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2016,May,5,2016-05-01,59327,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2016,June,6,2016-06-01,58701,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2016,July,7,2016-07-01,61300,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2016,August,8,2016-08-01,59118,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2016,September,9,2016-09-01,60152,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2016,October,10,2016-10-01,58862,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2016,November,11,2016-11-01,55985,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2016,December,12,2016-12-01,56460,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2017,January,1,2017-01-01,56237,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2017,February,2,2017-02-01,51259,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2017,March,3,2017-03-01,56625,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2017,April,4,2017-04-01,54613,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2017,May,5,2017-05-01,58224,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2017,June,6,2017-06-01,56431,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2017,July,7,2017-07-01,58797,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2017,August,8,2017-08-01,58776,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2017,September,9,2017-09-01,58740,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2017,October,10,2017-10-01,58590,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2017,November,11,2017-11-01,56101,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2017,December,12,2017-12-01,54713,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2018,January,1,2018-01-01,56173,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2018,February,2,2018-02-01,48792,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2018,March,3,2018-03-01,53875,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2018,April,4,2018-04-01,52639,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2018,May,5,2018-05-01,56599,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2018,June,6,2018-06-01,54968,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2018,July,7,2018-07-01,56824,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2018,August,8,2018-08-01,56719,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2018,September,9,2018-09-01,56145,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2018,October,10,2018-10-01,56663,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2018,November,11,2018-11-01,54037,United Kingdom
ons.gov.uk,United Kingdom,,52,-1,2018,December,12,2018-12-01,53642,United Kingdom
INSEE,France,,46.62012,2.452757,2005,January,1,2005-01-01,63987,France
INSEE,France,,46.62012,2.452757,2005,February,2,2005-02-01,58823,France
INSEE,France,,46.62012,2.452757,2005,March,3,2005-03-01,63902,France
INSEE,France,,46.62012,2.452757,2005,April,4,2005-04-01,62437,France
INSEE,France,,46.62012,2.452757,2005,May,5,2005-05-01,65178,France
INSEE,France,,46.62012,2.452757,2005,June,6,2005-06-01,63627,France
INSEE,France,,46.62012,2.452757,2005,July,7,2005-07-01,66574,France
INSEE,France,,46.62012,2.452757,2005,August,8,2005-08-01,67070,France
INSEE,France,,46.62012,2.452757,2005,September,9,2005-09-01,66424,France
INSEE,France,,46.62012,2.452757,2005,October,10,2005-10-01,67111,France
INSEE,France,,46.62012,2.452757,2005,November,11,2005-11-01,63574,France
INSEE,France,,46.62012,2.452757,2005,December,12,2005-12-01,65648,France
INSEE,France,,46.62012,2.452757,2006,January,1,2006-01-01,64814,France
INSEE,France,,46.62012,2.452757,2006,February,2,2006-02-01,59915,France
INSEE,France,,46.62012,2.452757,2006,March,3,2006-03-01,65394,France
INSEE,France,,46.62012,2.452757,2006,April,4,2006-04-01,61797,France
INSEE,France,,46.62012,2.452757,2006,May,5,2006-05-01,68860,France
INSEE,France,,46.62012,2.452757,2006,June,6,2006-06-01,66224,France
INSEE,France,,46.62012,2.452757,2006,July,7,2006-07-01,69705,France
INSEE,France,,46.62012,2.452757,2006,August,8,2006-08-01,68913,France
INSEE,France,,46.62012,2.452757,2006,September,9,2006-09-01,69029,France
INSEE,France,,46.62012,2.452757,2006,October,10,2006-10-01,70117,France
INSEE,France,,46.62012,2.452757,2006,November,11,2006-11-01,65741,France
INSEE,France,,46.62012,2.452757,2006,December,12,2006-12-01,66387,France
INSEE,France,,46.62012,2.452757,2007,January,1,2007-01-01,66287,France
INSEE,France,,46.62012,2.452757,2007,February,2,2007-02-01,59939,France
INSEE,France,,46.62012,2.452757,2007,March,3,2007-03-01,64561,France
INSEE,France,,46.62012,2.452757,2007,April,4,2007-04-01,60994,France
INSEE,France,,46.62012,2.452757,2007,May,5,2007-05-01,66638,France
INSEE,France,,46.62012,2.452757,2007,June,6,2007-06-01,64156,France
INSEE,France,,46.62012,2.452757,2007,July,7,2007-07-01,68411,France
INSEE,France,,46.62012,2.452757,2007,August,8,2007-08-01,68249,France
INSEE,France,,46.62012,2.452757,2007,September,9,2007-09-01,66488,France
INSEE,France,,46.62012,2.452757,2007,October,10,2007-10-01,68727,France
INSEE,France,,46.62012,2.452757,2007,November,11,2007-11-01,64811,France
INSEE,France,,46.62012,2.452757,2007,December,12,2007-12-01,66724,France
INSEE,France,,46.62012,2.452757,2008,January,1,2008-01-01,66911,France
INSEE,France,,46.62012,2.452757,2008,February,2,2008-02-01,61219,France
INSEE,France,,46.62012,2.452757,2008,March,3,2008-03-01,64405,France
INSEE,France,,46.62012,2.452757,2008,April,4,2008-04-01,65943,France
INSEE,France,,46.62012,2.452757,2008,May,5,2008-05-01,68582,France
INSEE,France,,46.62012,2.452757,2008,June,6,2008-06-01,65352,France
INSEE,France,,46.62012,2.452757,2008,July,7,2008-07-01,70282,France
INSEE,France,,46.62012,2.452757,2008,August,8,2008-08-01,67926,France
INSEE,France,,46.62012,2.452757,2008,September,9,2008-09-01,67820,France
INSEE,France,,46.62012,2.452757,2008,October,10,2008-10-01,67489,France
INSEE,France,,46.62012,2.452757,2008,November,11,2008-11-01,63865,France
INSEE,France,,46.62012,2.452757,2008,December,12,2008-12-01,66250,France
INSEE,France,,46.62012,2.452757,2009,January,1,2009-01-01,66436,France
INSEE,France,,46.62012,2.452757,2009,February,2,2009-02-01,58890,France
INSEE,France,,46.62012,2.452757,2009,March,3,2009-03-01,64725,France
INSEE,France,,46.62012,2.452757,2009,April,4,2009-04-01,63560,France
INSEE,France,,46.62012,2.452757,2009,May,5,2009-05-01,66099,France
INSEE,France,,46.62012,2.452757,2009,June,6,2009-06-01,65184,France
INSEE,France,,46.62012,2.452757,2009,July,7,2009-07-01,70900,France
INSEE,France,,46.62012,2.452757,2009,August,8,2009-08-01,68311,France
INSEE,France,,46.62012,2.452757,2009,September,9,2009-09-01,67988,France
INSEE,France,,46.62012,2.452757,2009,October,10,2009-10-01,67903,France
INSEE,France,,46.62012,2.452757,2009,November,11,2009-11-01,65117,France
INSEE,France,,46.62012,2.452757,2009,December,12,2009-12-01,68307,France
INSEE,France,,46.62012,2.452757,2010,January,1,2010-01-01,66785,France
INSEE,France,,46.62012,2.452757,2010,February,2,2010-02-01,61107,France
INSEE,France,,46.62012,2.452757,2010,March,3,2010-03-01,66066,France
INSEE,France,,46.62012,2.452757,2010,April,4,2010-04-01,64024,France
INSEE,France,,46.62012,2.452757,2010,May,5,2010-05-01,66774,France
INSEE,France,,46.62012,2.452757,2010,June,6,2010-06-01,65535,France
INSEE,France,,46.62012,2.452757,2010,July,7,2010-07-01,69761,France
INSEE,France,,46.62012,2.452757,2010,August,8,2010-08-01,68783,France
INSEE,France,,46.62012,2.452757,2010,September,9,2010-09-01,67959,France
INSEE,France,,46.62012,2.452757,2010,October,10,2010-10-01,70298,France
INSEE,France,,46.62012,2.452757,2010,November,11,2010-11-01,66874,France
INSEE,France,,46.62012,2.452757,2010,December,12,2010-12-01,68258,France
INSEE,France,,46.62012,2.452757,2011,January,1,2011-01-01,66293,France
INSEE,France,,46.62012,2.452757,2011,February,2,2011-02-01,60316,France
INSEE,France,,46.62012,2.452757,2011,March,3,2011-03-01,64702,France
INSEE,France,,46.62012,2.452757,2011,April,4,2011-04-01,62244,France
INSEE,France,,46.62012,2.452757,2011,May,5,2011-05-01,67624,France
INSEE,France,,46.62012,2.452757,2011,June,6,2011-06-01,66950,France
INSEE,France,,46.62012,2.452757,2011,July,7,2011-07-01,70231,France
INSEE,France,,46.62012,2.452757,2011,August,8,2011-08-01,69486,France
INSEE,France,,46.62012,2.452757,2011,September,9,2011-09-01,67003,France
INSEE,France,,46.62012,2.452757,2011,October,10,2011-10-01,67464,France
INSEE,France,,46.62012,2.452757,2011,November,11,2011-11-01,64559,France
INSEE,France,,46.62012,2.452757,2011,December,12,2011-12-01,66124,France
INSEE,France,,46.62012,2.452757,2012,January,1,2012-01-01,64914,France
INSEE,France,,46.62012,2.452757,2012,February,2,2012-02-01,61634,France
INSEE,France,,46.62012,2.452757,2012,March,3,2012-03-01,65079,France
INSEE,France,,46.62012,2.452757,2012,April,4,2012-04-01,63184,France
INSEE,France,,46.62012,2.452757,2012,May,5,2012-05-01,66341,France
INSEE,France,,46.62012,2.452757,2012,June,6,2012-06-01,63920,France
INSEE,France,,46.62012,2.452757,2012,July,7,2012-07-01,68774,France
INSEE,France,,46.62012,2.452757,2012,August,8,2012-08-01,68642,France
INSEE,France,,46.62012,2.452757,2012,September,9,2012-09-01,66919,France
